Books,,,,,,,,,
ISBN,Title,Author(s),Publisher,Year,Price,Category,,,
038572179X,Atonement,Ian McEwan ,Anchor Books,2003,$14.00,Literature & Fiction,,,
0385494246,Amsterdam,Ian McEwan ,Anchor Books,1999,$12.00,Literature & Fiction,,,
0385494327,Black Dogs,Ian McEwan ,Anchor Books,1999,$14.00,Literature & Fiction,,,
0385494149,Enduring Love,Ian McEwan ,Anchor Books,1999,$13.00,Literature & Fiction,,,
0399149848,Birthright,Nora Roberts ,Putnam Pub Group,2003,$25.95,Literature & Fiction,,,
0373218192,Engaging The Enemy,Nora Roberts ,Silhouette,2003,$7.50,Literature & Fiction,,,
0373218257,Love By Design,Nora Roberts ,Harlequin,2003,$14.95,Literature & Fiction,,,
0399149392,Chesapeake Blue,Nora Roberts ,Putnam Pub Group,2002,$25.95,Literature & Fiction,,,
1561584029,The Complete Illustrated Guide to Furniture and Cabinet Construction,Andy Rae ,Taunton Pr,2001,$39.95,Home Design,,,
1579902944,Choosing & Using Hand Tools,Andy Rae ,Lark Books,2002,$19.95,Home Design,,,
1561586196,Building a Shed,Joseph Truini ,Taunton Pr,2003,$19.95,Home Design,,,
0061092177,Small Gods,Terry Pratchett,Harper,1994,$7.99,Fantasy,,,
0060502935,Going Postal,Terry Pratchett,Harper,2005,$7.99,Fantasy,,,
0061020656,Pyramids,Terry Pratchett,Harper,2001,$7.99,Fantasy,,,
0060855925,The Color of Magic,Terry Pratchett,Harper,2005,$13.99,Fantasy,,,
0061020648,Guards! Guards!,Terry Pratchett,Harper,2001,$7.99,Fantasy,,,
0061161721,Unseen Academicals,Terry Pratchett,Harper,2010,$7.99,Fantasy,,,
